tempo_sk,data_completa,ano,mes,dia,dia_semana,trimestre,trimestre_fiscal,eh_fim_mes,eh_fim_trimestre,eh_fim_ano,eh_feriado_bancario
311,2014-07-08,2014,7,8,Tuesday,3,3,False,False,False,False
312,2014-07-09,2014,7,9,Wednesday,3,3,False,False,False,False
313,2014-07-10,2014,7,10,Thursday,3,3,False,False,False,False
314,2014-07-11,2014,7,11,Friday,3,3,False,False,False,False
315,2014-07-12,2014,7,12,Saturday,3,3,False,False,False,False
316,2014-07-13,2014,7,13,Sunday,3,3,False,False,False,False
317,2014-07-14,2014,7,14,Monday,3,3,False,False,False,False
318,2014-07-15,2014,7,15,Tuesday,3,3,False,False,False,False
319,2014-07-16,2014,7,16,Wednesday,3,3,False,False,False,False
320,2014-07-17,2014,7,17,Thursday,3,3,False,False,False,False
321,2014-07-18,2014,7,18,Friday,3,3,False,False,False,False
322,2014-07-19,2014,7,19,Saturday,3,3,False,False,False,False
323,2014-07-20,2014,7,20,Sunday,3,3,False,False,False,False
324,2014-07-21,2014,7,21,Monday,3,3,False,False,False,False
325,2014-07-22,2014,7,22,Tuesday,3,3,False,False,False,False
326,2014-07-23,2014,7,23,Wednesday,3,3,False,False,False,False
327,2014-07-24,2014,7,24,Thursday,3,3,False,False,False,False
328,2014-07-25,2014,7,25,Friday,3,3,False,False,False,False
329,2014-07-26,2014,7,26,Saturday,3,3,False,False,False,False
330,2014-07-27,2014,7,27,Sunday,3,3,False,False,False,False
331,2014-07-28,2014,7,28,Monday,3,3,False,False,False,False
332,2014-07-29,2014,7,29,Tuesday,3,3,False,False,False,False
333,2014-07-30,2014,7,30,Wednesday,3,3,False,False,False,False
334,2014-07-31,2014,7,31,Thursday,3,3,True,False,False,False
335,2014-08-01,2014,8,1,Friday,3,3,False,False,False,False
336,2014-08-02,2014,8,2,Saturday,3,3,False,False,False,False
337,2014-08-03,2014,8,3,Sunday,3,3,False,False,False,False
338,2014-08-04,2014,8,4,Monday,3,3,False,False,False,False
339,2014-08-05,2014,8,5,Tuesday,3,3,False,False,False,False
340,2014-08-06,2014,8,6,Wednesday,3,3,False,False,False,False
341,2014-08-07,2014,8,7,Thursday,3,3,False,False,False,False
342,2014-08-08,2014,8,8,Friday,3,3,False,False,False,False
343,2014-08-09,2014,8,9,Saturday,3,3,False,False,False,False
344,2014-08-10,2014,8,10,Sunday,3,3,False,False,False,False
345,2014-08-11,2014,8,11,Monday,3,3,False,False,False,False
346,2014-08-12,2014,8,12,Tuesday,3,3,False,False,False,False
347,2014-08-13,2014,8,13,Wednesday,3,3,False,False,False,False
348,2014-08-14,2014,8,14,Thursday,3,3,False,False,False,False
349,2014-08-15,2014,8,15,Friday,3,3,False,False,False,False
350,2014-08-16,2014,8,16,Saturday,3,3,False,False,False,False
